Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas1             Pavarde1            2         9         4         3         10        2         
Vardas2             Pavarde2            7         1         8         2         2         5         
Vardas3             Pavarde3            9         1         2         1         5         0         
Vardas4             Pavarde4            8         1         9         10        9         5         
Vardas5             Pavarde5            3         2         3         10        2         1         
Vardas6             Pavarde6            4         3         1         5         9         3         
Vardas7             Pavarde7            8         1         3         8         9         1         
Vardas8             Pavarde8            6         5         4         4         7         3         
Vardas9             Pavarde9            2         8         6         2         9         7         
Vardas10            Pavarde10           9         5         4         7         8         1         
Vardas11            Pavarde11           6         0         2         10        3         3         
Vardas12            Pavarde12           9         9         6         9         7         0         
Vardas13            Pavarde13           1         7         7         6         0         10        
Vardas14            Pavarde14           3         5         7         6         10        4         
Vardas15            Pavarde15           1         9         6         7         6         5         
Vardas16            Pavarde16           8         10        1         3         9         4         
Vardas17            Pavarde17           4         8         0         0         9         0         
Vardas18            Pavarde18           8         5         10        2         10        4         
Vardas19            Pavarde19           3         5         1         8         3         10        
Vardas20            Pavarde20           9         10        5         4         10        4         
Vardas21            Pavarde21           8         2         0         8         7         8         
Vardas22            Pavarde22           5         5         1         10        10        0         
Vardas23            Pavarde23           10        3         0         9         2         8         
Vardas24            Pavarde24           8         5         9         0         5         10        
Vardas25            Pavarde25           0         10        8         8         0         2         
Vardas26            Pavarde26           1         0         7         10        1         2         
Vardas27            Pavarde27           9         2         6         3         4         9         
Vardas28            Pavarde28           4         0         7         10        10        4         
Vardas29            Pavarde29           1         6         1         0         1         9         
Vardas30            Pavarde30           5         3         2         5         7         0         
Vardas31            Pavarde31           6         2         10        0         6         6         
Vardas32            Pavarde32           1         3         10        4         9         1         
Vardas33            Pavarde33           2         6         3         5         3         10        
Vardas34            Pavarde34           2         9         10        4         9         8         
Vardas35            Pavarde35           5         1         8         6         1         4         
Vardas36            Pavarde36           7         4         7         3         10        4         
Vardas37            Pavarde37           3         9         9         5         9         3         
Vardas38            Pavarde38           10        5         10        9         3         6         
Vardas39            Pavarde39           0         2         8         0         8         9         
Vardas40            Pavarde40           7         6         8         9         1         7         
Vardas41            Pavarde41           2         3         5         2         3         8         
Vardas42            Pavarde42           7         5         8         8         10        2         
Vardas43            Pavarde43           9         9         10        9         10        8         
Vardas44            Pavarde44           4         10        7         10        3         0         
Vardas45            Pavarde45           4         9         2         10        6         4         
Vardas46            Pavarde46           8         3         0         3         6         0         
Vardas47            Pavarde47           3         0         6         1         7         8         
Vardas48            Pavarde48           8         7         5         5         2         0         
Vardas49            Pavarde49           3         1         2         0         10        5         
Vardas50            Pavarde50           10        4         6         4         2         5         
Vardas51            Pavarde51           8         9         4         9         2         1         
Vardas52            Pavarde52           10        5         8         0         7         6         
Vardas53            Pavarde53           3         8         4         2         9         5         
Vardas54            Pavarde54           8         2         1         5         1         0         
Vardas55            Pavarde55           8         8         0         7         1         4         
Vardas56            Pavarde56           2         3         7         9         6         10        
Vardas57            Pavarde57           1         9         5         9         5         4         
Vardas58            Pavarde58           7         1         3         7         10        3         
Vardas59            Pavarde59           4         9         5         4         10        8         
Vardas60            Pavarde60           1         3         10        8         3         7         
Vardas61            Pavarde61           0         5         3         9         2         8         
Vardas62            Pavarde62           6         3         10        4         9         8         
Vardas63            Pavarde63           3         1         1         7         2         2         
Vardas64            Pavarde64           6         5         2         5         1         2         
Vardas65            Pavarde65           3         6         10        10        4         2         
Vardas66            Pavarde66           6         5         8         4         10        5         
Vardas67            Pavarde67           1         6         8         2         4         10        
Vardas68            Pavarde68           3         7         1         6         5         8         
Vardas69            Pavarde69           5         7         6         1         5         4         
Vardas70            Pavarde70           7         5         9         4         2         3         
Vardas71            Pavarde71           8         7         5         8         1         7         
Vardas72            Pavarde72           10        6         7         2         9         5         
Vardas73            Pavarde73           7         6         3         6         7         10        
Vardas74            Pavarde74           9         7         2         5         2         3         
Vardas75            Pavarde75           7         10        4         4         10        10        
Vardas76            Pavarde76           4         3         10        7         7         0         
Vardas77            Pavarde77           10        2         4         9         7         10        
Vardas78            Pavarde78           5         9         7         7         1         8         
Vardas79            Pavarde79           9         9         10        7         5         9         
Vardas80            Pavarde80           1         9         0         6         1         4         
Vardas81            Pavarde81           3         0         2         1         0         9         
Vardas82            Pavarde82           0         9         6         4         3         1         
Vardas83            Pavarde83           7         6         1         2         6         4         
Vardas84            Pavarde84           6         5         1         7         6         2         
Vardas85            Pavarde85           9         3         3         3         1         4         
Vardas86            Pavarde86           8         3         6         3         6         1         
Vardas87            Pavarde87           5         9         5         0         5         1         
Vardas88            Pavarde88           0         10        0         8         6         2         
Vardas89            Pavarde89           3         1         1         2         4         4         
Vardas90            Pavarde90           0         8         5         8         1         1         
Vardas91            Pavarde91           4         10        6         0         6         0         
Vardas92            Pavarde92           3         1         9         10        0         5         
Vardas93            Pavarde93           9         10        2         6         10        0         
Vardas94            Pavarde94           3         2         3         2         4         4         
Vardas95            Pavarde95           10        10        6         6         3         2         
Vardas96            Pavarde96           0         6         3         3         10        5         
Vardas97            Pavarde97           0         8         8         3         6         2         
Vardas98            Pavarde98           1         4         0         0         5         9         
Vardas99            Pavarde99           2         7         8         0         2         6         
Vardas100           Pavarde100          3         3         0         2         9         8         
Vardas101           Pavarde101          1         5         8         0         4         5         
Vardas102           Pavarde102          2         0         4         9         7         9         
Vardas103           Pavarde103          7         5         5         6         6         1         
Vardas104           Pavarde104          2         6         5         9         3         3         
Vardas105           Pavarde105          9         3         4         3         3         5         
Vardas106           Pavarde106          8         8         9         7         0         9         
Vardas107           Pavarde107          6         9         2         7         2         10        
Vardas108           Pavarde108          10        3         0         5         5         10        
Vardas109           Pavarde109          3         3         7         6         4         9         
Vardas110           Pavarde110          6         1         4         5         7         2         
Vardas111           Pavarde111          0         4         8         3         6         5         
Vardas112           Pavarde112          2         3         10        3         6         3         
Vardas113           Pavarde113          9         4         6         7         2         2         
Vardas114           Pavarde114          6         4         4         2         3         7         
Vardas115           Pavarde115          8         8         1         4         4         4         
Vardas116           Pavarde116          1         6         3         2         8         4         
Vardas117           Pavarde117          10        3         5         0         9         3         
Vardas118           Pavarde118          10        10        10        9         6         3         
Vardas119           Pavarde119          3         10        2         4         6         2         
Vardas120           Pavarde120          5         10        2         10        8         10        
Vardas121           Pavarde121          2         9         2         8         9         4         
Vardas122           Pavarde122          10        2         10        0         9         1         
Vardas123           Pavarde123          5         0         3         3         6         3         
Vardas124           Pavarde124          5         2         10        5         3         6         
Vardas125           Pavarde125          4         1         1         5         8         7         
Vardas126           Pavarde126          0         0         2         0         3         0         
Vardas127           Pavarde127          1         3         0         5         7         2         
Vardas128           Pavarde128          10        0         2         9         10        8         
Vardas129           Pavarde129          4         4         1         9         6         7         
Vardas130           Pavarde130          10        0         10        6         0         0         
Vardas131           Pavarde131          9         2         8         5         8         3         
Vardas132           Pavarde132          6         9         1         2         5         10        
Vardas133           Pavarde133          10        10        0         3         3         4         
Vardas134           Pavarde134          2         7         3         10        4         1         
Vardas135           Pavarde135          7         8         1         8         0         1         
Vardas136           Pavarde136          5         2         3         10        5         10        
Vardas137           Pavarde137          1         0         7         6         7         2         
Vardas138           Pavarde138          6         4         3         2         7         3         
Vardas139           Pavarde139          4         10        1         2         6         8         
Vardas140           Pavarde140          4         4         10        0         3         8         
Vardas141           Pavarde141          8         5         0         8         0         5         
Vardas142           Pavarde142          4         8         4         6         8         9         
Vardas143           Pavarde143          9         5         5         8         4         9         
Vardas144           Pavarde144          7         2         6         10        2         1         
Vardas145           Pavarde145          9         8         7         5         0         2         
Vardas146           Pavarde146          5         10        6         6         1         2         
Vardas147           Pavarde147          4         9         0         5         9         4         
Vardas148           Pavarde148          8         10        8         3         7         1         
Vardas149           Pavarde149          0         2         8         3         3         3         
Vardas150           Pavarde150          9         10        9         10        9         7         
Vardas151           Pavarde151          7         6         6         2         0         5         
Vardas152           Pavarde152          10        9         3         6         6         1         
Vardas153           Pavarde153          5         6         9         5         2         6         
Vardas154           Pavarde154          0         3         0         6         6         7         
Vardas155           Pavarde155          10        10        3         2         10        10        
Vardas156           Pavarde156          6         8         7         7         6         9         
Vardas157           Pavarde157          7         2         9         9         8         2         
Vardas158           Pavarde158          8         8         4         1         2         2         
Vardas159           Pavarde159          6         5         4         3         10        10        
Vardas160           Pavarde160          2         0         10        4         6         7         
Vardas161           Pavarde161          3         7         2         2         6         8         
Vardas162           Pavarde162          3         7         2         10        5         6         
Vardas163           Pavarde163          6         5         0         4         10        7         
Vardas164           Pavarde164          7         1         3         5         10        2         
